产品名,网址,给谁用,输入,输出,价格,解决什么问题,为什么值得继续看,AITDK月访问量,Top Keywords,Top Regions
LensGo（Lovino）,https://lensgo.ai/,创作者、营销人员,文本、图片、视频,AI 图像、视频、风格迁移,免费 3/天 + 订阅,免费 AI 图像/视频生成（每天 3 个免费），已更名 Lovino，定位 AI Agent AI Influencer Studio,59.5K-154.9K/月，更名转型值得跟踪,59.5K（Toolify）；AIPURE 口径 154.9K,lensgo ai、lensgo、lens go,美国 12.88%、印度 8.98%、尼日利亚 6.41%、印尼 4.63%、巴西 4.21%
GoEnhance,https://www.goenhance.ai/,动漫创作者、视频二创者、营销,视频、图片、文本,视频转动漫风格、换脸、角色动画、图像增强,免费 + 订阅,视频转视频风格转换（动漫/卡通/3D）+ 逐帧视频编辑,576K-1.12M/月，视频转动漫需求在中文社区高热度,576K（Toolify）；AI效率工具集口径 1.12M,goenhance ai、goenhance、go enhance ai、ai换脸、video to video ai,美国 13.56-20.58%、巴西 6.99-8.66%、中国 5.17-6.47%、日本 9.04%、乌拉圭 5.19%
Morph Studio,https://www.morphstudio.com/,多媒体创作者、广告、音乐视频,文本、图片、视频,AI 视频、风格转换、口型同步,$9.99/月（2024 数据）,多合一视频生成+风格转换+口型同步,流量极低（约 3K/月），中国团队早期明星产品的现状样本,约 3K（AIPURE）,未知,日本 60.23%、美国 39.77%（AIPURE）
ComfyUI,https://www.comfy.org/,技术创作者、AI 工程师、影视工业化团队,节点工作流、模型、图片/视频,图像、视频、3D、音频,免费开源,开源节点式工作流引擎，本地运行、完全可控、可复现，影视级 AI 生产管线的基础设施,专业 AI 视频生产的事实标准管线，NVIDIA 官方教程支持，Runway/Kling 等均出官方节点，Reference-to-Video 工作流的载体,约 50 万（ComfyUI Wiki 站口径）,comfyui、comfyui workflow,未知
MimicPC,https://www.mimicpc.com/,无 GPU 的创作者、Stable Diffusion 用户,文本、图片,AI 图像、视频、LoRA 训练,免费 + Medium $13.95/月、Advanced,云端运行 20+ 预部署 AI 应用（SD/ComfyUI/Fooocus/FaceFusion），免安装,297.1K-453.6K/月，「平民 GPU 云」定位,297.1K（Toolify）；SeekTool 口径 453.6K,mimicpc、undress ai、ai undresser,美国 13.22%、丹麦 6.91%、意大利 6.01%、印度 3.88%、越南 3.4%
Wireflow,https://www.wireflow.ai/,开发者、营销技术团队,节点工作流（50+ 模型）,可发布的 AI 应用、API,免费 + 订阅（API 按量）,可视化节点编排 AI 模型管线，一键发布为独立应用，REST API 触发,「工作流即应用」模式，可与 Reference-to-Video 管线结合，广告创意批量生产是其主打,未知,未知,未知
PostEverywhere,https://posteverywhere.ai/,社媒运营、AI Agent 用户,内容、API,多平台发布、AI 视频/图像生成,7 天免费试用；$19/月起,为 AI Agent 设计的社媒调度工具（API+MCP），聚合 50+ 生成模型，11 平台发布,「AI Agent 优先」的社媒工具新范式,未知,未知,未知
Jupitrr（VideoOS）,https://jupitrr.com/,教练、顾问、知识博主,口播视频、研究主题,剪辑后成片、脚本、发布,免费；Starter $18/月；Pro $39/月；Team $89/月,研究→脚本→录制→剪辑→发布一体化（VideoOS），垂直教练/顾问,Product Hunt 日榜产品，「教练/顾问」垂直定位,未知,未知,未知
ClipForge,https://clip-forge.io/,长视频创作者,长视频,病毒式短视频切片,免费 + 订阅,长视频转短视频，AI 钩子和爆款预测,OpusClip 的独立开发者竞品,未知,未知,未知
AdCreative.ai,https://www.adcreative.ai/,电商、代理、中小企业,品牌资产、产品图,广告创意（静态为主）、文案,$29-549/月,以转化为核心的广告创意生成，$50M 融资,778K/月，AI 广告创意品类开创者,778K（findmoreai）,adcreative ai、adcreative.ai、adcreative、ad creative ai,美国 16.77%、英国 8.26%、荷兰 5.61%、法国 4.61%、澳大利亚 3.69%
Pencil,https://www.trypencil.com/,品牌、代理,品牌资产、文案简报,视频/静态广告变体+效果预测,$99/月起；企业定制,基于 $1B+ 广告花费数据预测广告表现，直连 Meta/TikTok 发布,124.7K/月，Brandtech 旗下，「预测性 AI」差异化,124.7K（Toolify）；NavTools 口径 132K,pencil ai、pencil、trypencil,英国 21.44%、菲律宾 11.38%、印度 6.4%、美国 4.15%、新加坡 4.1%
Quickads,https://www.quickads.ai/,中小企业、营销人员,文本、产品信息,图像/视频广告、落地页,$63-119/月,30 秒出广告，20M+ 广告库，虚拟产品拍摄,75.8K/月，广告生成+发布一体化,75.8K（Toolify）,quickads、quickads ai,美国 9.71%、印度 7.4%、越南 7.15%、印尼 5.92%、法国 4.56%
WASK,https://www.wask.co/,SMB、代理、电商,广告账户、产品信息,AI 广告创意+投放管理,$15-165/月,AI Agent 管理 Facebook/Instagram/Google 广告，$15/月低价,低价全功能策略,未知,未知,未知
Predis.ai,https://predis.ai/,社媒经理、小企业,文本、产品信息,社媒帖子、视频广告,$23-212/月,30 秒出广告，社媒日历一体化,社媒+广告一体化,未知,未知,未知
Avocado AI,https://www.avocadoai.co/,DTC 品牌、电商,产品图、文本,品牌广告（Super Agent 自动 caption/排期/发布）,€19.99/月起,产品图→品牌广告全流程，Flows Director 生成完整广告片，聚合 Seedance 2.0/GPT Image/Nano Banana,「Super Agent」自动化广告生产，电商广告方向新锐,未知,未知,未知
MakeUGC,https://makeugc.ai/,电商、SaaS、代理,产品信息、脚本,AI UGC 视频,$49/月起,无需真人创作者的 UGC 视频批量生产，AI 剧本+可定制头像+批量创建,213.7K/月，UGC 批量生产,213.7K（aitoolnet）；SeekTool 口径 208.5K,未知,美国 26.21%（aitoolnet）
Yapper,https://yapper.so/,创作者、营销、deepfake 爱好者,文本、图片、参考视频,AI 视频、唇形同步 deepfake、UGC,Starter $9.99/月起（1000 credits）,一站式 AI 内容工作室（Sora 2/Veo 3 + Sync-Max 唇形同步），移动端 App,279.8-287.9K/月且增长 45-68%，增速快,287.9K（SeekTool）；SeekTool 脚本转视频口径 279.8K,未知,未知
Fastlane,https://www.usefastlane.ai/,TikTok 创作者、联盟营销,热门视频链接、产品,改编的短视频（多平台发布）,免费,把热门视频改编为自己产品的内容并一键分发，免费,227K/月，「蹭热点」模式,227K（SeekTool）,未知,未知
Influee,https://influee.co/,品牌、代理,简报、脚本,AI UGC 视频,20€ 起；$749/月扩展计划,80K+ 创作者网络 + AI UGC 生成，10% 平台费,234.3K/月，创作者市场+AI 双模式,234.3K（Toolify）,influee、ugc、ugc creator、ugc creators,美国 11.62%、英国 10.24%、德国 4.27%、澳大利亚 3.83%、加拿大 3.6%
Gethookd,https://gethookd.ai/,广告投放者、品牌,竞品/广告库,广告分析、爆款广告库、AI 广告生成,订阅,「Facebook 广告库加强版」——分析品牌广告+组织活动+生成广告,326.4-523.3K/月，广告分析+生成闭环,326.4K（SeekTool）；SeekTool UGC 口径 523.3K,未知,未知
ClipLoft,https://www.cliploft.com/,DTC 品牌、代理,产品、脚本,批量 AI UGC 广告（300+ 头像）,$49/月起,批量广告测试+产品合成，首条视频免费,批量广告测试导向,未知,未知,未知
Reloop Studio,https://reloop.studio/,SaaS/应用开发者,脚本,数字人 UGC 视频,免费 30 credits；$16-20/月,脚本→口播 UGC 视频，积分永不过期,Product Hunt 2026 日榜第一,未知,未知,未知
Tagshop,https://tagshop.ai/,电商品牌,产品图、脚本,AI UGC 广告,订阅,可购物 UGC 视频,102.5-140.4K/月,102.5K（SeekTool）；SeekTool 口径 140.4K,未知,未知
CreatorKit,https://creatorkit.com/,电商、营销团队,产品、文本,AI 克隆视频、AI 演员、产品视频,免费；Pro $39/月；Business $99/月,「按成功结果付费」（只为成功生成付费）,50.3K/月，「Pay per results」模式,50.3K（SeekTool）,未知,未知
ReelFarm,https://reel.farm/,TikTok 矩阵运营者,主题,AI 无脸 TikTok 幻灯片视频（自动发布）,免费 3 条；Growth $49/月；Scale $95/月,TikTok 矩阵自动化（无脸内容+自动发布）,42.8K/月，TikTok 自动化农场,42.8K（SeekTool）,未知,未知
Archive,https://archive.com/,品牌营销团队,创作者内容,UGC 管理、AI 搜索创作者,定制,UGC 资产管理 + AI 创作者发现,174.7K/月且增长 46.8%,174.7K（SeekTool）,未知,未知
ShortGenius,https://shortgenius.com/,创作者、媒体,长视频/文章,短视频,订阅,自动化短视频生产,173.7K/月,173.7K（SeekTool）,未知,未知
Synthesys,https://synthesys.io/,创作者、营销,文本、图片,AI 视频、配音、数字人、换脸,Indie $20/月（年付）,一个套餐含全部（视频/配音/数字人/UGC）,108.4K/月，All-in-one 定价,108.4K（SeekTool）,未知,未知
Pixelcut,https://pixelcut.ai/,电商卖家、社媒卖家,产品图,抠图、AI 背景、产品视频,免费；Pro $8/月；Business $24/月,移动端电商图像工具 + AI 视频，2M+ 用户,10.5M/月（SeekTool UGC 榜第 2），移动优先,10.5M（SeekTool）,未知,未知
freebeat,https://freebeat.ai/,健身/音乐视频创作者,音乐、动作参考,AI 音乐视频,订阅,AI 音乐视频生成,556.1K/月,556.1K（SeekTool）,未知,未知
APOB,https://apob.ai/,创作者,图片,AI 肖像/视频,订阅,AI 肖像生成,495.3K/月且增长 14.5%,495.3K（SeekTool）,未知,未知
Ultraswap（Pyka）,https://app.pykaso.ai/,换脸需求用户,图片/视频,换脸视频,订阅,AI 换脸,161.2K/月,161.2K（SeekTool）,未知,未知
Conch Video（hailuoai.com）,https://hailuoai.com/,国际用户,文本、图片,AI 视频,订阅,MiniMax 国际版（与 hailuoai.video 并行）,1.2M/月（SeekTool），增长 121%,1.2M（SeekTool）,未知,未知
KreadoAI,https://www.kreadoai.com/,营销人员、电商、教育,文本、PPT,数字人视频、AI 模特、多语言配音,免费；$15/月；$91/月,易点天下旗下，数字人+AI 模特+智能抠图，140+ 语言,133.5K-296K/月，上市公司背景,133.5K（Toolify）；AI效率工具集口径 296.35K,kreadoai、crayo ai、viblo,印度 7.15-11.61%、美国 6.9%、越南 5.5%、巴西 5.87%、乌克兰 4.59%
ScreenApp,https://screenapp.io/,知识工作者、UX 研究员,屏幕录制/视频,转录、摘要、多模态分析（音频+屏幕 OCR）,免费；Growth $19/月,会议/网络研讨会/培训视频的多模态分析，内容分析而非性能分析,视频内容分析赛道代表（vs 性能分析），与视频理解方向相关,未知,未知,未知
Genmo,https://genmo.ai/,创作者,文本、图片,AI 视频,订阅,视频生成,188.3K/月且增长 20.5%,188.3K（SeekTool）,未知,未知
Recapo.ai,https://recapo.ai/,影视解说创作者,长视频,解说视频（自动文案+配音+剪辑）,99 元/月（头条评测）,影视解说自动化，中文影视解说赛道头部,中文影视解说赛道头部,未知,未知,未知
VideoIdeas.ai,https://videoideas.ai/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,官网价格页实时确认；保留为待二次核验，不编造价格,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,偏向视频创意和选题生成，适合补充从idea到脚本的上游产品池。 来源：官网 https://videoideas.ai/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
Shuffll,https://shuffll.com/,电商品牌、广告投手、DTC团队、代理商,商品链接、脚本、卖点、素材或目标受众,UGC广告、口播视频、产品短片或广告变体,官网价格页实时确认；保留为待二次核验，不编造价格,批量生成更接近真实创作者语气的广告视频，用于投放测试。,面向企业视频和营销视频生产，适合研究B2B视频生成工作流。 来源：官网 https://shuffll.com/,未核验（AITDK）,"ai ugc video, video ads, product video generator",未核验（AITDK）
MarketingBlocks,https://marketingblocks.ai/,电商卖家、品牌增长团队、商品运营,商品链接、图片、卖点、店铺素材,商品视频、广告素材、短视频或多平台版本,官网价格页实时确认；保留为待二次核验，不编造价格,把商品信息自动包装成可投放/可发布的视频内容，提升素材生产效率。,把营销资产生成和视频放在同一套平台里，适合看一站式AI营销套件。 来源：官网 https://marketingblocks.ai/,未核验（AITDK）,"product video generator, ecommerce video, ai ads",未核验（AITDK）
Civitai,https://civitai.com/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,免费社区+付费增值/会员，官网实时确认,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,有活跃模型和生成社区，可观察开源/社区型视频与图像生态。 来源：官网 https://civitai.com/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
Kinetix,https://www.kinetix.tech/,动画师、游戏团队、3D创作者、虚拟角色团队,视频、角色、动作参考或图片,动作捕捉、动画、角色视频或风格化镜头,官网价格页实时确认；保留为待二次核验，不编造价格,把动作、角色和视觉风格快速转成动画资产，减少手工关键帧成本。,从动作捕捉和虚拟角色切入，适合研究游戏/Avatar视频资产。 来源：官网 https://www.kinetix.tech/,未核验（AITDK）,"ai animation, motion capture, video to animation",未核验（AITDK）
Dezgo,https://dezgo.com/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,按量/付费能力，官网实时确认,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,生成式视觉工具集合，可作为轻量图像到视频/视觉素材入口对照。 来源：官网 https://dezgo.com/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
EbSynth,https://ebsynth.com/,动画师、游戏团队、3D创作者、虚拟角色团队,视频、角色、动作参考或图片,动作捕捉、动画、角色视频或风格化镜头,官网价格页实时确认；保留为待二次核验，不编造价格,把动作、角色和视觉风格快速转成动画资产，减少手工关键帧成本。,经典视频风格迁移工具，适合研究非纯文生视频但高价值的视觉工作流。 来源：官网 https://ebsynth.com/,未核验（AITDK）,"ai animation, motion capture, video to animation",未核验（AITDK）
Gling,https://www.gling.ai/,视频编辑、运营、创作者和中小企业,原始视频、字幕、图片、音频或剪辑需求,剪辑后视频、字幕、去背景素材或社媒版本,官网价格页实时确认；保留为待二次核验，不编造价格,自动完成剪辑、字幕、背景处理和格式化，减少重复编辑工作。,聚焦创作者口播剪辑，能补齐AI视频生产后的剪辑提效场景。 来源：官网 https://www.gling.ai/,未核验（AITDK）,"ai video editor, auto captions, video background remover",未核验（AITDK）
Hour One,https://hourone.ai/,教育培训、销售、HR、品牌内容团队,脚本、PPT、文档或头像设置,数字人口播视频、培训视频或多语言演示,官网价格页实时确认；保留为待二次核验，不编造价格,把脚本快速变成可交付的真人讲解视频，减少拍摄、剪辑和演员成本。,企业数字人视频平台，适合研究培训、HR和企业传播付费场景。 来源：官网 https://hourone.ai/,未核验（AITDK）,"ai avatar video, talking avatar, text to video",未核验（AITDK）
TubeMagic,https://tubemagic.com/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,围绕YouTube脚本、标题和视频运营，适合研究创作者工具链。 来源：官网 https://tubemagic.com/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Elai.io,https://elai.io/,教育培训、销售、HR、品牌内容团队,脚本、PPT、文档或头像设置,数字人口播视频、培训视频或多语言演示,官网价格页实时确认；保留为待二次核验，不编造价格,把脚本快速变成可交付的真人讲解视频，减少拍摄、剪辑和演员成本。,文字/PPT转数字人视频，B2B培训和教育场景清晰。 来源：官网 https://elai.io/,未核验（AITDK）,"ai avatar video, talking avatar, text to video",未核验（AITDK）
Flickify,https://flickify.com/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,把文章或文本转视频，适合研究内容再利用类产品。 来源：官网 https://flickify.com/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Fliz,https://fliz.ai/,电商卖家、品牌增长团队、商品运营,商品链接、图片、卖点、店铺素材,商品视频、广告素材、短视频或多平台版本,官网价格页实时确认；保留为待二次核验，不编造价格,把商品信息自动包装成可投放/可发布的视频内容，提升素材生产效率。,商品链接转视频，适合电商卖家快速产出产品短片。 来源：官网 https://fliz.ai/,未核验（AITDK）,"product video generator, ecommerce video, ai ads",未核验（AITDK）
Guidde,https://www.guidde.com/,产品团队、客户成功、培训和SOP团队,录屏、流程步骤、产品页面或说明文档,教程视频、操作指南、知识库素材,官网价格页实时确认；保留为待二次核验，不编造价格,把流程讲解沉淀为可复用视频，减少重复培训和客服说明成本。,自动生成产品教程/知识库视频，适合B2B onboarding场景。 来源：官网 https://www.guidde.com/,未核验（AITDK）,"ai tutorial video, screen recording, knowledge base video",未核验（AITDK）
Kaiber,https://kaiber.ai/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,官网价格页实时确认；保留为待二次核验，不编造价格,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,创意视频生成和音乐视觉化方向突出，适合研究艺术/创作者市场。 来源：官网 https://kaiber.ai/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
ShortMake,https://shortmake.com/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,面向短视频自动生成，适合观察faceless短视频生产链。 来源：官网 https://shortmake.com/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Spikes Studio,https://spikes.studio/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,长视频切短视频定位明确，适合研究自动剪辑和平台分发。 来源：官网 https://spikes.studio/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Spiritme,https://spiritme.tech/,教育培训、销售、HR、品牌内容团队,脚本、PPT、文档或头像设置,数字人口播视频、培训视频或多语言演示,官网价格页实时确认；保留为待二次核验，不编造价格,把脚本快速变成可交付的真人讲解视频，减少拍摄、剪辑和演员成本。,数字人口播视频产品，适合研究低成本人像视频生成。 来源：官网 https://spiritme.tech/,未核验（AITDK）,"ai avatar video, talking avatar, text to video",未核验（AITDK）
WOXO,https://woxo.tech/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,短视频批量生成和频道运营方向清晰，适合研究社媒自动化。 来源：官网 https://woxo.tech/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Hypergro,https://www.hypergro.ai/,电商品牌、广告投手、DTC团队、代理商,商品链接、脚本、卖点、素材或目标受众,UGC广告、口播视频、产品短片或广告变体,官网价格页实时确认；保留为待二次核验，不编造价格,批量生成更接近真实创作者语气的广告视频，用于投放测试。,电商品牌AI UGC视频生成，适合投放素材生产研究。 来源：官网 https://www.hypergro.ai/,未核验（AITDK）,"ai ugc video, video ads, product video generator",未核验（AITDK）
Simplified,https://simplified.com/,电商卖家、品牌增长团队、商品运营,商品链接、图片、卖点、店铺素材,商品视频、广告素材、短视频或多平台版本,官网价格页实时确认；保留为待二次核验，不编造价格,把商品信息自动包装成可投放/可发布的视频内容，提升素材生产效率。,多模态营销平台含视频能力，适合研究套件型AI工具。 来源：官网 https://simplified.com/,未核验（AITDK）,"product video generator, ecommerce video, ai ads",未核验（AITDK）
Storyboard Hero,https://storyboardhero.ai/,广告创意、影视前期、课程和品牌团队,脚本、创意 brief、场景描述,分镜、脚本结构、视觉草案或拍摄计划,官网价格页实时确认；保留为待二次核验，不编造价格,在正式制作前快速验证故事结构和镜头方案，减少沟通成本。,从脚本到分镜，适合视频制作前期和广告创意工作流。 来源：官网 https://storyboardhero.ai/,未核验（AITDK）,"ai storyboard, video script, creative brief",未核验（AITDK）
Vibeo,https://www.vibeo.ai/,电商品牌、广告投手、DTC团队、代理商,商品链接、脚本、卖点、素材或目标受众,UGC广告、口播视频、产品短片或广告变体,官网价格页实时确认；保留为待二次核验，不编造价格,批量生成更接近真实创作者语气的广告视频，用于投放测试。,用户视频证言采集/生成场景明确，可研究社会证明素材。 来源：官网 https://www.vibeo.ai/,未核验（AITDK）,"ai ugc video, video ads, product video generator",未核验（AITDK）
Visla,https://www.visla.us/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,官网价格页实时确认；保留为待二次核验，不编造价格,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,面向业务视频、脚本和编辑，适合B2B视频生产研究。 来源：官网 https://www.visla.us/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
YT Copycat,https://ytcopycat.com/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,YouTube内容复用工具，可研究脚本/摘要/短内容改写。 来源：官网 https://ytcopycat.com/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Feedeo,https://feedeo.spreading.ai/,教育培训、销售、HR、品牌内容团队,脚本、PPT、文档或头像设置,数字人口播视频、培训视频或多语言演示,官网价格页实时确认；保留为待二次核验，不编造价格,把脚本快速变成可交付的真人讲解视频，减少拍摄、剪辑和演员成本。,交互式视频和AI Avatar结合，适合研究销售/获客视频。 来源：官网 https://feedeo.spreading.ai/,未核验（AITDK）,"ai avatar video, talking avatar, text to video",未核验（AITDK）
ReachOut.AI,https://reachout.ai/,电商品牌、广告投手、DTC团队、代理商,商品链接、脚本、卖点、素材或目标受众,UGC广告、口播视频、产品短片或广告变体,官网价格页实时确认；保留为待二次核验，不编造价格,批量生成更接近真实创作者语气的广告视频，用于投放测试。,个性化销售视频方向，适合研究B2B外呼/邮件视频化。 来源：官网 https://reachout.ai/,未核验（AITDK）,"ai ugc video, video ads, product video generator",未核验（AITDK）
Rokoko Video,https://www.rokoko.com/products/video,动画师、游戏团队、3D创作者、虚拟角色团队,视频、角色、动作参考或图片,动作捕捉、动画、角色视频或风格化镜头,官网价格页实时确认；保留为待二次核验，不编造价格,把动作、角色和视觉风格快速转成动画资产，减少手工关键帧成本。,视频动作捕捉入口，适合动画和游戏素材生产。 来源：官网 https://www.rokoko.com/products/video,未核验（AITDK）,"ai animation, motion capture, video to animation",未核验（AITDK）
Shorts Generator,https://shortsgenerator.com/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,短视频自动生成，适合补充YouTube Shorts/TikTok工具池。 来源：官网 https://shortsgenerator.com/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Video Magic,https://www.videomagic.ai/,电商卖家、品牌增长团队、商品运营,商品链接、图片、卖点、店铺素材,商品视频、广告素材、短视频或多平台版本,官网价格页实时确认；保留为待二次核验，不编造价格,把商品信息自动包装成可投放/可发布的视频内容，提升素材生产效率。,商品和电商视频自动化，适合研究商家素材生产。 来源：官网 https://www.videomagic.ai/,未核验（AITDK）,"product video generator, ecommerce video, ai ads",未核验（AITDK）
VMEG,https://www.vmeg.pro/,跨境团队、教育内容、视频号/YouTube运营,原视频、音频、字幕或目标语言,翻译字幕、配音、口型同步或多语言视频,官网价格页实时确认；保留为待二次核验，不编造价格,把同一条视频本地化成多语言版本，扩大内容分发范围。,多语言视频翻译和本地化，适合跨境视频增长研究。 来源：官网 https://www.vmeg.pro/,未核验（AITDK）,"ai video translation, ai dubbing, lip sync",未核验（AITDK）
Vsub,https://vsub.io/,短视频创作者、课程团队、跨境营销团队,视频或音频文件、字幕语言要求,字幕、翻译、配音或带字幕成片,官网价格页实时确认；保留为待二次核验，不编造价格,快速生成字幕和本地化版本，让同一条视频覆盖更多语言和平台。,自动字幕和短视频字幕样式，适合创作者日常剪辑。 来源：官网 https://vsub.io/,未核验（AITDK）,"ai subtitles, video translation, dubbing",未核验（AITDK）
Wondershare Media.io,https://www.media.io/,视频编辑、运营、创作者和中小企业,原始视频、字幕、图片、音频或剪辑需求,剪辑后视频、字幕、去背景素材或社媒版本,官网价格页实时确认；保留为待二次核验，不编造价格,自动完成剪辑、字幕、背景处理和格式化，减少重复编辑工作。,视频/音频/图片在线AI工具集合，适合研究流量型工具站。 来源：官网 https://www.media.io/,未核验（AITDK）,"ai video editor, auto captions, video background remover",未核验（AITDK）
Wuri,https://www.wuri.ai/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,官网价格页实时确认；保留为待二次核验，不编造价格,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,AI视频创作定位，适合继续核验其生成能力和入口流量。 来源：官网 https://www.wuri.ai/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
Revid AI,https://www.revid.ai/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,AI短视频生成和再利用工具，适合研究自动化内容频道。 来源：官网 https://www.revid.ai/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
Klap,https://klap.app/,YouTube播客团队、社媒运营、内容营销团队,长视频、直播回放、播客或文章链接,短视频片段、字幕、标题、剪辑建议,官网价格页实时确认；保留为待二次核验，不编造价格,从长内容中提取可传播片段，提高一条内容在多个平台的复用效率。,长视频切短视频的成熟产品，适合研究创作者付费点。 来源：官网 https://klap.app/,未核验（AITDK）,"video repurposing, ai shorts generator, clip maker",未核验（AITDK）
JoggAI,https://www.jogg.ai/,电商品牌、广告投手、DTC团队、代理商,商品链接、脚本、卖点、素材或目标受众,UGC广告、口播视频、产品短片或广告变体,官网价格页实时确认；保留为待二次核验，不编造价格,批量生成更接近真实创作者语气的广告视频，用于投放测试。,AI商品/UGC视频生成，适合电商广告素材研究。 来源：官网 https://www.jogg.ai/,未核验（AITDK）,"ai ugc video, video ads, product video generator",未核验（AITDK）
VideoGen,https://videogen.io/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,官网价格页实时确认；保留为待二次核验，不编造价格,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,快速生成社媒视频，适合研究轻量视频SaaS。 来源：官网 https://videogen.io/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
Translate.Video,https://www.translate.video/,跨境团队、教育内容、视频号/YouTube运营,原视频、音频、字幕或目标语言,翻译字幕、配音、口型同步或多语言视频,官网价格页实时确认；保留为待二次核验，不编造价格,把同一条视频本地化成多语言版本，扩大内容分发范围。,字幕、配音和视频翻译链路完整，适合跨语言扩散。 来源：官网 https://www.translate.video/,未核验（AITDK）,"ai video translation, ai dubbing, lip sync",未核验（AITDK）
Genve AI,https://www.genve.ai/,短视频创作者、营销团队、创意团队,提示词、脚本、图片或参考视频,AI生成视频、镜头素材或可编辑成片,官网价格页实时确认；保留为待二次核验，不编造价格,降低从想法到视频素材的制作门槛，适合快速测试广告、社媒和内容创意。,AI视频生成定位，适合补充新兴视频工具候选。 来源：官网 https://www.genve.ai/,未核验（AITDK）,"ai video generator, text to video, image to video",未核验（AITDK）
